title,genres,id,keywords,original_language,popularity,release_date,revenue,runtime,vote_average,cast,budget
Avatar,Action Adventure Fantasy Science Fiction,19995,culture clash future space war space colony society,en,150.437577,10-12-2009,2787965087,162,7.2,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,237000000
Pirates of the Caribbean: At World's End,Adventure Fantasy Action,285,ocean drug abuse exotic island east india trading company love of one's life,en,139.082615,19-05-2007,961000000,169,6.9,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,300000000
Spectre,Action Adventure Crime,206647,spy based on novel secret agent sequel mi6,en,107.376788,26-10-2015,880674609,148,6.3,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,245000000
The Dark Knight Rises,Action Crime Drama Thriller,49026,dc comics crime fighter terrorist secret identity burglar,en,112.31295,16-07-2012,1084939099,165,7.6,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,250000000
John Carter,Action Adventure Science Fiction,49529,based on novel mars medallion space travel princess,en,43.926995,07-03-2012,284139100,132,6.1,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,260000000
Spider-Man 3,Fantasy Action Adventure,559,dual identity amnesia sandstorm love of one's life forgiveness,en,115.699814,01-05-2007,890871626,139,5.9,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,258000000
Tangled,Animation Family,38757,hostage magic horse fairy tale musical,en,48.681969,24-11-2010,591794936,100,7.4,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,260000000
Avengers: Age of Ultron,Action Adventure Science Fiction,99861,marvel comic sequel superhero based on comic book vision,en,134.279229,22-04-2015,1405403694,141,7.3,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,280000000
Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,767,witch magic broom school of witchcraft wizardry,en,98.885637,07-07-2009,933959197,153,7.4,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,250000000
Batman v Superman: Dawn of Justice,Action Adventure Fantasy,209112,dc comics vigilante superhero based on comic book revenge,en,155.790452,23-03-2016,873260194,151,5.7,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,250000000
Superman Returns,Adventure Fantasy Action Science Fiction,1452,saving the world dc comics invulnerability sequel superhero,en,57.925623,28-06-2006,391081192,154,5.4,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,270000000
Quantum of Solace,Adventure Action Thriller Crime,10764,killing undercover secret agent british secret service,en,107.928811,30-10-2008,586090727,106,6.1,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,200000000
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,58,witch fortune teller bondage exotic island monster,en,145.847379,20-06-2006,1065659812,151,7,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,200000000
The Lone Ranger,Action Adventure Western,57201,texas horse survivor texas ranger partner,en,49.046956,03-07-2013,89289910,149,5.9,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,255000000
Man of Steel,Action Adventure Fantasy Science Fiction,49521,saving the world dc comics superhero based on comic book superhuman,en,99.398009,12-06-2013,662845518,143,6.5,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,225000000
The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,2454,based on novel fictional place brother sister relationship lion human being,en,53.978602,15-05-2008,419651413,150,6.3,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,225000000
The Avengers,Science Fiction Action Adventure,24428,new york shield marvel comic superhero based on comic book,en,144.448633,25-04-2012,1519557910,143,7.4,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,220000000
Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,1865,sea captain mutiny sword prime minister,en,135.413856,14-05-2011,1045713802,136,6.4,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,380000000
Men in Black 3,Action Comedy Science Fiction,41154,time travel time machine alien fictional government agency seeing the future,en,52.035179,23-05-2012,624026776,106,6.2,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,225000000
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,122917,corruption elves dwarves orcs middle-earth (tolkien),en,120.965743,10-12-2014,956019788,144,7.1,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,250000000
The Amazing Spider-Man,Action Adventure Fantasy,1930,loss of father vigilante serum marvel comic scientific experiment,en,89.866276,27-06-2012,752215857,136,6.5,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,215000000
Robin Hood,Action Adventure,20662,robin hood archer knight sherwood forest bow and arrow,en,37.668301,12-05-2010,310669540,140,6.2,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,200000000
The Hobbit: The Desolation of Smaug,Adventure Fantasy,57158,elves dwarves orcs hobbit dragon,en,94.370564,11-12-2013,958400000,161,7.6,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,250000000
The Golden Compass,Adventure Fantasy,2268,england compass experiment lordship uncle,en,42.990906,04-12-2007,372234864,113,5.8,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,180000000
King Kong,Adventure Drama Action,254,film business screenplay show business film making film producer,en,61.22601,14-12-2005,550000000,187,6.6,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,207000000
Titanic,Drama Romance Thriller,597,shipwreck iceberg ship panic titanic,en,100.025899,18-11-1997,1845034188,194,7.5,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,200000000
Captain America: Civil War,Adventure Action Science Fiction,271110,civil war war marvel comic sequel superhero,en,198.372395,27-04-2016,1153304495,147,7.1,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,250000000
Battleship,Thriller Action Adventure Science Fiction,44833,fight u.s. navy mind reading hong kong soccer,en,64.928382,11-04-2012,303025485,131,5.5,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,209000000
Jurassic World,Action Adventure Science Fiction Thriller,135397,monster dna tyrannosaurus rex velociraptor island,en,418.708552,09-06-2015,1513528810,124,6.5,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,150000000
 'department': 'Sound', 'credit_id': '55492449c3a36841b2000363', {'name': 'Christopher J. Wood', 'gender': 0, 'department': 'Costume & Make-Up', 'id': 1463383}, 'department': 'Crew', 'job': 'Propmaker', 'credit_id': '5549247ec3a36841b90003fa', 'job': 'Foley', 'id': 1463387}, 'job': 'Set Dressing Artist'
Skyfall,Action Adventure Thriller,37724,spy secret agent sociopath killer art gallery,en,93.004993,25-10-2012,1108561013,143,6.9,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,200000000
Spider-Man 2,Action Adventure Fantasy,558,dual identity love of one's life pizza boy marvel comic sequel,en,35.149586,25-06-2004,783766341,127,6.7,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,200000000
Iron Man 3,Action Adventure Science Fiction,68721,terrorist war on terror tennessee malibu marvel comic,en,77.68208,18-04-2013,1215439994,130,6.8,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,200000000
